id,campus_id,peak_demand
1,1,1225.89
2,4,121.0
3,5,145.0
4,3,143.0
5,1,260.0
6,2,100.0
7,1,90.0
8,2,930.0
9,1,22.68
10,3,626.0
11,3,
12,1,7659.0
13,1,120.0
14,1,192.751
