code,name,province_code,longitude,latitude
110100,北京市,110000,116.4074,39.9042
120100,上海市,120000,121.4737,31.2304
310100,上海市,310000,121.4737,31.2304
440100,广州市,440000,113.2644,23.1291
440300,深圳市,440000,114.0579,22.5431
510100,成都市,510000,104.0668,30.5728
